,id,station,date,prcp,tobs
316,2689,USC00519397,2017-07-16,0.02,78.0
317,2690,USC00519397,2017-07-17,0.03,80.0
318,2691,USC00519397,2017-07-18,0.05,80.0
319,2692,USC00519397,2017-07-20,0.03,80.0
320,2693,USC00519397,2017-07-21,0.0,80.0
321,2694,USC00519397,2017-07-22,0.03,81.0
322,2695,USC00519397,2017-07-23,0.0,81.0
323,2696,USC00519397,2017-07-24,0.05,78.0
324,2697,USC00519397,2017-07-25,0.0,80.0
325,2698,USC00519397,2017-07-26,0.0,82.0
326,2699,USC00519397,2017-07-27,0.0,79.0
327,2700,USC00519397,2017-07-28,0.0,81.0
328,2701,USC00519397,2017-07-29,0.0,81.0
329,2702,USC00519397,2017-07-30,0.0,81.0
330,2703,USC00519397,2017-07-31,0.0,80.0
331,2704,USC00519397,2017-08-01,0.02,77.0
332,2705,USC00519397,2017-08-02,0.0,73.0
333,2706,USC00519397,2017-08-03,0.0,79.0
334,2707,USC00519397,2017-08-04,0.02,80.0
335,2708,USC00519397,2017-08-05,0.0,81.0
336,2709,USC00519397,2017-08-06,0.0,80.0
337,2710,USC00519397,2017-08-07,0.0,80.0
338,2711,USC00519397,2017-08-08,0.0,80.0
339,2712,USC00519397,2017-08-09,0.0,80.0
340,2713,USC00519397,2017-08-10,0.0,81.0
341,2714,USC00519397,2017-08-11,0.0,78.0
342,2715,USC00519397,2017-08-12,0.0,80.0
343,2716,USC00519397,2017-08-13,0.0,81.0
344,2717,USC00519397,2017-08-14,0.0,79.0
345,2718,USC00519397,2017-08-15,0.02,78.0
346,2719,USC00519397,2017-08-18,0.0,80.0
347,2720,USC00519397,2017-08-19,0.0,79.0
348,2721,USC00519397,2017-08-20,0.0,81.0
349,2722,USC00519397,2017-08-21,0.0,81.0
350,2723,USC00519397,2017-08-22,0.0,82.0
351,2724,USC00519397,2017-08-23,0.0,81.0
352,5100,USC00513117,2016-09-01,0.0,79.0
353,5101,USC00513117,2016-09-02,0.02,78.0
354,5102,USC00513117,2016-09-03,0.07,77.0
355,5103,USC00513117,2016-09-04,0.03,75.0
356,5104,USC00513117,2016-09-05,0.11,78.0
357,5105,USC00513117,2016-09-06,0.05,74.0
358,5106,USC00513117,2016-09-07,0.1,75.0
359,5107,USC00513117,2016-09-08,0.22,77.0
360,5108,USC00513117,2016-09-09,0.01,76.0
361,5109,USC00513117,2016-09-10,0.01,76.0
362,5110,USC00513117,2016-09-11,0.18,76.0
363,5111,USC00513117,2016-09-12,0.04,76.0
364,5112,USC00513117,2016-09-13,0.37,76.0
365,5113,USC00513117,2016-09-14,0.9,76.0
366,5114,USC00513117,2016-09-15,0.12,78.0
367,5115,USC00513117,2016-09-16,0.01,78.0
368,5116,USC00513117,2016-09-17,0.04,78.0
369,5117,USC00513117,2016-09-18,0.0,78.0
370,5118,USC00513117,2016-09-19,0.01,75.0
371,5119,USC00513117,2016-09-20,0.09,78.0
372,5120,USC00513117,2016-09-21,0.06,76.0
373,5121,USC00513117,2016-09-22,0.09,77.0
374,5122,USC00513117,2016-09-23,0.15,76.0
375,5123,USC00513117,2016-09-24,0.0,79.0
376,5124,USC00513117,2016-09-25,0.02,77.0
377,5125,USC00513117,2016-09-26,0.06,77.0
378,5126,USC00513117,2016-09-27,0.12,77.0
379,5127,USC00513117,2016-09-28,0.08,77.0
380,5128,USC00513117,2016-09-29,0.49,76.0
381,5129,USC00513117,2016-09-30,0.31,77.0
382,5130,USC00513117,2016-10-01,0.14,75.0
383,5131,USC00513117,2016-10-02,0.02,77.0
384,5132,USC00513117,2016-10-03,0.04,78.0
385,5133,USC00513117,2016-10-04,0.0,78.0
386,5134,USC00513117,2016-10-05,0.0,77.0
387,5135,USC00513117,2016-10-06,0.05,76.0
388,5136,USC00513117,2016-10-07,0.0,78.0
389,5137,USC00513117,2016-10-08,0.0,76.0
390,5138,USC00513117,2016-10-09,0.0,77.0
391,5139,USC00513117,2016-10-10,0.0,75.0
392,5140,USC00513117,2016-10-11,0.02,77.0
393,5141,USC00513117,2016-10-12,0.03,75.0
394,5142,USC00513117,2016-10-13,0.0,78.0
395,5143,USC00513117,2016-10-14,0.0,77.0
396,5144,USC00513117,2016-10-15,0.0,76.0
397,5145,USC00513117,2016-10-16,0.0,75.0
398,5146,USC00513117,2016-10-17,0.03,77.0
399,5147,USC00513117,2016-10-18,0.05,77.0
400,5148,USC00513117,2016-10-19,0.06,77.0
401,5149,USC00513117,2016-10-20,0.0,76.0
402,5150,USC00513117,2016-10-21,0.15,76.0
403,5151,USC00513117,2016-10-22,0.1,77.0
404,5152,USC00513117,2016-10-23,0.01,76.0
405,5153,USC00513117,2016-10-24,0.0,76.0
406,5154,USC00513117,2016-10-25,0.04,77.0
407,5155,USC00513117,2016-10-26,0.06,74.0
408,5156,USC00513117,2016-10-27,0.11,75.0
409,5157,USC00513117,2016-10-28,0.02,77.0
410,5158,USC00513117,2016-10-29,0.02,77.0
411,5159,USC00513117,2016-10-30,0.1,78.0
412,5160,USC00513117,2016-10-31,0.03,76.0
413,5161,USC00513117,2016-11-01,0.01,77.0
414,5162,USC00513117,2016-11-02,0.0,76.0
415,5163,USC00513117,2016-11-03,0.0,74.0
416,5164,USC00513117,2016-11-04,0.0,76.0
417,5165,USC00513117,2016-11-05,0.02,72.0
418,5166,USC00513117,2016-11-06,0.02,76.0
419,5167,USC00513117,2016-11-07,0.0,69.0
420,5168,USC00513117,2016-11-08,0.14,71.0
421,5169,USC00513117,2016-11-09,0.08,70.0
422,5170,USC00513117,2016-11-10,0.0,69.0
423,5171,USC00513117,2016-11-11,0.0,71.0
424,5172,USC00513117,2016-11-12,0.0,68.0
425,5173,USC00513117,2016-11-13,0.0,72.0
426,5174,USC00513117,2016-11-14,0.06,76.0
427,5175,USC00513117,2016-11-15,0.0,78.0
428,5176,USC00513117,2016-11-16,0.14,76.0
429,5177,USC00513117,2016-11-17,0.03,75.0
430,5178,USC00513117,2016-11-18,0.01,78.0
431,5179,USC00513117,2016-11-19,0.11,73.0
432,5180,USC00513117,2016-11-20,0.11,75.0
433,5181,USC00513117,2016-11-21,0.02,75.0
434,5182,USC00513117,2016-11-22,0.41,76.0
435,5183,USC00513117,2016-11-23,0.03,75.0
436,5184,USC00513117,2016-11-24,0.2,75.0
437,5185,USC00513117,2016-11-25,0.05,76.0
438,5186,USC00513117,2016-11-26,0.05,76.0
439,5187,USC00513117,2016-11-27,0.06,75.0
440,5188,USC00513117,2016-11-28,0.02,75.0
441,5189,USC00513117,2016-11-29,0.04,74.0
442,5190,USC00513117,2016-11-30,0.05,74.0
443,5191,USC00513117,2016-12-01,0.33,73.0
444,5192,USC00513117,2016-12-02,0.3,71.0
445,5193,USC00513117,2016-12-03,0.04,71.0
446,5194,USC00513117,2016-12-04,0.1,69.0
447,5195,USC00513117,2016-12-05,0.34,68.0
448,5196,USC00513117,2016-12-06,0.02,70.0
449,5197,USC00513117,2016-12-07,0.17,71.0
450,5198,USC00513117,2016-12-08,0.03,72.0
451,5199,USC00513117,2016-12-09,0.34,70.0
452,5200,USC00513117,2016-12-10,0.02,71.0
453,5201,USC00513117,2016-12-11,0.02,72.0
454,5202,USC00513117,2016-12-12,0.01,68.0
455,5203,USC00513117,2016-12-13,0.1,68.0
456,5204,USC00513117,2016-12-14,0.05,70.0
457,5205,USC00513117,2016-12-15,0.02,70.0
458,5206,USC00513117,2016-12-16,0.01,63.0
459,5207,USC00513117,2016-12-17,0.11,71.0
460,5208,USC00513117,2016-12-18,0.29,67.0
461,5209,USC00513117,2016-12-19,0.21,69.0
462,5210,USC00513117,2016-12-20,0.02,74.0
463,5211,USC00513117,2016-12-21,0.03,72.0
464,5212,USC00513117,2016-12-22,0.17,70.0
465,5213,USC00513117,2016-12-23,0.1,69.0
466,5214,USC00513117,2016-12-24,0.14,73.0
467,5215,USC00513117,2016-12-25,0.03,74.0
468,5216,USC00513117,2016-12-26,0.26,74.0
469,5217,USC00513117,2016-12-27,0.03,73.0
470,5218,USC00513117,2016-12-28,0.09,71.0
471,5219,USC00513117,2016-12-29,0.18,72.0
472,5220,USC00513117,2016-12-30,0.21,69.0
473,5221,USC00513117,2016-12-31,0.62,71.0
474,5222,USC00513117,2017-01-01,0.29,66.0
475,5223,USC00513117,2017-01-02,0.0,66.0
476,5224,USC00513117,2017-01-03,0.0,65.0
477,5225,USC00513117,2017-01-04,0.0,64.0
478,5226,USC00513117,2017-01-05,0.0,65.0
479,5227,USC00513117,2017-01-06,0.0,70.0
480,5228,USC00513117,2017-01-07,0.06,72.0
481,5229,USC00513117,2017-01-08,0.0,62.0
482,5230,USC00513117,2017-01-09,0.0,65.0
483,5231,USC00513117,2017-01-10,0.0,66.0
484,5232,USC00513117,2017-01-11,0.0,66.0
485,5233,USC00513117,2017-01-12,0.0,67.0
486,5234,USC00513117,2017-01-13,0.0,70.0
487,5235,USC00513117,2017-01-14,0.0,66.0
488,5236,USC00513117,2017-01-15,0.0,67.0
489,5237,USC00513117,2017-01-16,0.0,69.0
490,5238,USC00513117,2017-01-17,0.0,74.0
491,5239,USC00513117,2017-01-18,0.0,73.0
492,5240,USC00513117,2017-01-19,0.0,74.0
493,5241,USC00513117,2017-01-20,0.0,73.0
494,5242,USC00513117,2017-01-21,0.04,72.0
495,5243,USC00513117,2017-01-22,0.01,71.0
496,5244,USC00513117,2017-01-23,0.08,71.0
497,5245,USC00513117,2017-01-24,0.15,71.0
498,5246,USC00513117,2017-01-25,0.12,73.0
499,5247,USC00513117,2017-01-26,0.0,72.0
500,5248,USC00513117,2017-01-27,0.0,63.0
501,5249,USC00513117,2017-01-28,0.14,71.0
502,5250,USC00513117,2017-01-29,0.0,71.0
503,5251,USC00513117,2017-01-30,0.0,69.0
504,5252,USC00513117,2017-01-31,0.0,69.0
505,5253,USC00513117,2017-02-01,0.0,69.0
506,5254,USC00513117,2017-02-02,0.0,63.0
507,5255,USC00513117,2017-02-03,0.0,64.0
508,5256,USC00513117,2017-02-04,0.0,67.0
509,5257,USC00513117,2017-02-05,0.0,75.0
510,5258,USC00513117,2017-02-06,0.16,74.0
511,5259,USC00513117,2017-02-07,1.08,67.0
512,5260,USC00513117,2017-02-08,1.08,67.0
513,5261,USC00513117,2017-02-09,0.02,64.0
514,5262,USC00513117,2017-02-10,0.0,64.0
515,5263,USC00513117,2017-02-11,1.0,65.0
516,5264,USC00513117,2017-02-12,1.07,67.0
517,5265,USC00513117,2017-02-13,2.9,69.0
